beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
ProjektassistentIn,AT31,Oberösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,126.0,285,1242
ProjektassistentIn,AT32,Salzburg,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,26.0,285,1242
ProjektassistentIn,AT33,Tirol,gleichbleibend,2026-2028,0% - sehr geringer Anteil,2025.0,47.0,285,1242
ProjektassistentIn,AT34,Vorarlberg,gleichbleibend,2026-2028,0% - sehr geringer Anteil,,,285,1242
ProjektmanagerIn,AT,Österreich,tendenziell,2026-2028,74% - hoher Anteil,2025.0,8220.0,285,1194
ProjektmanagerIn,AT11,Burgenland,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,76.0,285,1194
ProjektmanagerIn,AT12,Niederösterreich,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,899.0,285,1194
ProjektmanagerIn,AT13,Wien,tendenziell,2026-2028,74% - hoher Anteil,2025.0,2277.0,285,1194
ProjektmanagerIn,AT21,Kärnten,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,337.0,285,1194
ProjektmanagerIn,AT22,Steiermark,tendenziell,2026-2028,74% - hoher Anteil,2025.0,1094.0,285,1194
ProjektmanagerIn,AT31,Oberösterreich,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,1459.0,285,1194
ProjektmanagerIn,AT32,Salzburg,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,605.0,285,1194
ProjektmanagerIn,AT33,Tirol,positiv,2026-2028,50% - mittlerer Anteil,2025.0,471.0,285,1194
ProjektmanagerIn,AT34,Vorarlberg,tendenziell,2026-2028,50% - mittlerer Anteil,2025.0,272.0,285,1194
SalesmanagerIn,AT,Österreich,tendenziell,2026-2028,74% - hoher Anteil,2025.0,11334.0,285,873
SalesmanagerIn,AT11,Burgenland,tendenziell,2026-2028,74% - hoher Anteil,2025.0,145.0,285,873
SalesmanagerIn,AT12,Niederösterreich,tendenziell,2026-2028,74% - hoher Anteil,2025.0,1449.0,285,873
SalesmanagerIn,AT13,Wien,tendenziell,2026-2028,95% - sehr hoher Anteil,2025.0,2902.0,285,873
SalesmanagerIn,AT21,Kärnten,tendenziell,2026-2028,74% - hoher Anteil,2025.0,546.0,285,873
SalesmanagerIn,AT22,Steiermark,tendenziell,2026-2028,74% - hoher Anteil,2025.0,1165.0,285,873
SalesmanagerIn,AT31,Oberösterreich,tendenziell,2026-2028,74% - hoher Anteil,2025.0,1837.0,285,873
SalesmanagerIn,AT32,Salzburg,tendenziell,2026-2028,74% - hoher Anteil,2025.0,1016.0,285,873
SalesmanagerIn,AT33,Tirol,tendenziell,2026-2028,74% - hoher Anteil,2025.0,889.0,285,873
SalesmanagerIn,AT34,Vorarlberg,tendenziell,2026-2028,74% - hoher Anteil,2025.0,398.0,285,873
VerwaltungsmanagerIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,2086.0,285,1245
VerwaltungsmanagerIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,,,285,1245
VerwaltungsmanagerIn,AT12,Niederösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,219.0,285,1245
VerwaltungsmanagerIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,540.0,285,1245
VerwaltungsmanagerIn,AT21,Kärnten,tendenziell,2026-2028,30% - geringer Anteil,2025.0,75.0,285,1245
VerwaltungsmanagerIn,AT22,Steiermark,tendenziell,2026-2028,30% - geringer Anteil,2025.0,186.0,285,1245
VerwaltungsmanagerIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,326.0,285,1245
VerwaltungsmanagerIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,136.0,285,1245
VerwaltungsmanagerIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,183.0,285,1245
VerwaltungsmanagerIn,AT34,Vorarlberg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,116.0,285,1245
Customer-Relationship-ManagerIn,AT,Österreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,3313.0,286,637
Customer-Relationship-ManagerIn,AT11,Burgenland,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,39.0,286,637
Customer-Relationship-ManagerIn,AT12,Niederösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,415.0,286,637
Customer-Relationship-ManagerIn,AT13,Wien,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,1094.0,286,637
Customer-Relationship-ManagerIn,AT21,Kärnten,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,154.0,286,637
Customer-Relationship-ManagerIn,AT22,Steiermark,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,321.0,286,637
Customer-Relationship-ManagerIn,AT31,Oberösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,477.0,286,637
Customer-Relationship-ManagerIn,AT32,Salzburg,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,239.0,286,637
Customer-Relationship-ManagerIn,AT33,Tirol,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,213.0,286,637
Customer-Relationship-ManagerIn,AT34,Vorarlberg,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,127.0,286,637
MarketingassistentIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,3934.0,286,862
